1,The Online Dictionary of New Zealand Sign Language,/,Home,1,home,t,2011-09-26 00:00:18.209978,2013-04-03 21:46:41.280057
2,NZSL Facts,nzsl,NZSL Facts,2,standard,t,2011-09-26 00:11:18.155603,2013-04-03 21:46:41.295351
3,Fingerspelling,alphabet,Alphabet,3,alphabet,t,2011-09-26 00:14:04.137666,2013-04-03 21:46:41.323089
4,Numbers,numbers,Numbers,4,numbers,t,2011-09-26 00:15:19.251916,2013-04-03 21:46:41.331536
5,Classifiers,classifiers,Classifiers,5,classifiers,t,2011-09-26 00:16:37.765428,2013-04-03 21:46:41.339320
6,Learning,learning,Learning,6,standard,t,2011-09-26 00:17:55.114956,2013-04-03 21:46:41.349350
7,About,about,About,7,standard,t,2011-09-26 00:18:42.341591,2013-04-03 21:46:41.357372
8,Contact Us,contact-us,Contact Us,8,feedback,t,2011-09-26 00:20:48.918745,2013-04-03 21:46:41.380146
9,Links,links,Links,9,standard,t,2011-09-26 00:21:41.035855,2013-04-03 21:46:41.388605
10,Help,help,Help,10,standard,f,2011-09-26 00:22:25.086457,2013-04-03 21:46:41.400171
11,Copyright notice,copyright,Copyright notice,12,standard,f,2011-09-26 00:29:28.144419,2013-04-03 21:46:41.422715
12,Page not found (404),not-found,404,13,standard,f,2011-09-26 00:40:28.706837,2013-04-03 21:46:41.473853
26,News,news,News,11,standard,t,2011-11-03 22:21:55.687686,2013-04-03 21:46:41.410594
13,Topic,topic,Topic,13,topic,t,2017-05-04 12:00:00.251916,2017-05-04 12:00:00.331536
